method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
QLoRA nf4,q+v,4,14.69226113,3.672647476,0.390876919,0.910964697,0.911184211,10
QLoRA nf4,q+v,8,14.67429702,3.67753458,0.381192952,0.91538228,0.915657895,10
QLoRA nf4,q+v,16,14.67357169,3.693466187,0.376103967,0.918150279,0.918421053,10
QLoRA nf4,q+v,32,14.67003245,3.727615356,0.364719987,0.922287409,0.9225,10
QLoRA nf4,q+k+v,4,15.09739727,3.803450108,0.38283962,0.911543505,0.911842105,10
QLoRA nf4,q+k+v,8,15.0336175,3.816173553,0.363703489,0.921408161,0.921578947,10
QLoRA nf4,q+k+v,16,15.04263376,3.83536911,0.366378874,0.924555297,0.924736842,10
QLoRA nf4,q+k+v,32,15.03571833,3.875835419,0.361083269,0.925776437,0.925921053,10
QLoRA nf4,q+k+v+o,4,15.52355606,3.934013367,0.368167222,0.918711683,0.918947368,10
QLoRA nf4,q+k+v+o,8,15.31896338,3.950965881,0.385588318,0.921719062,0.921973684,10
QLoRA nf4,q+k+v+o,16,15.30415048,3.978096008,0.367731422,0.924102633,0.924342105,10
QLoRA nf4,q+k+v+o,32,15.29144562,4.039253235,0.368278414,0.928485745,0.928684211,10
QLoRA fp4,q+v,4,14.81162984,3.675100803,0.413129181,0.904930879,0.905263158,10
QLoRA fp4,q+v,8,14.76951155,3.683776855,0.371751577,0.917366005,0.917631579,10
QLoRA fp4,q+v,16,14.79720731,3.699996948,0.370620638,0.917994841,0.918289474,10
QLoRA fp4,q+v,32,14.77896494,3.728347778,0.359593242,0.918667711,0.918947368,10
QLoRA fp4,q+k+v,4,15.12824501,3.808742523,0.390222758,0.913626222,0.913947368,10
QLoRA fp4,q+k+v,8,15.14247207,3.814220428,0.379079103,0.917099223,0.917368421,10
QLoRA fp4,q+k+v,16,15.15991141,3.839092255,0.359258026,0.92068399,0.920921053,10
QLoRA fp4,q+k+v,32,15.09100785,3.877605438,0.357638568,0.92356532,0.923815789,10
QLoRA fp4,q+k+v+o,4,15.58549799,3.941520691,0.382907808,0.918042113,0.918289474,10
QLoRA fp4,q+k+v+o,8,15.74927418,3.949806213,0.382107794,0.920692709,0.920921053,10
QLoRA fp4,q+k+v+o,16,15.67699125,3.986885071,0.369723737,0.924933055,0.925131579,10
QLoRA fp4,q+k+v+o,32,15.6521969,4.040901184,0.364499837,0.926091283,0.926315789,10
baseline,,,3.636197639,3.088,263,0.489779182,0.507368421,5
LoRA,q+v,4,5.68,8.532958508,35.15625,0.873293275,0.873552632,5
LoRA,q+v,8,5.7,8.535842419,0.475830078,0.879028977,0.879342105,5
LoRA,q+v,16,5.72,8.541610241,21.484375,0.884085906,0.884210526,5
LoRA,q+v,32,5.87,8.554810524,0.497070313,0.905105299,0.905526316,5
LoRA,q+k+v,4,6.03,8.734328747,0.391357422,0.882871151,0.883157895,5
LoRA,q+k+v,8,6.03,8.738387585,0.364990234,0.892078351,0.8925,5
LoRA,q+k+v,16,6.07,8.747220039,0.382568359,0.902528191,0.902763158,5
LoRA,q+k+v,32,6.27,8.785672188,0.384277344,0.914482044,0.914736842,5
LoRA,q+k+v+o,4,6.48,8.947951794,34.0625,0.890389856,0.890657895,5
LoRA,q+k+v+o,8,6.48,8.953719616,26.4375,0.890512312,0.890394737,5
LoRA,q+k+v+o,16,6.5,8.978692055,15.5703125,0.892136397,0.8925,5
LoRA,q+k+v+o,32,6.85,9.034234047,6.44140625,0.895656642,0.896052632,5
QLoRA nf4,q+v,4,9.895517417,5.225064754,0.44917205,0.848719912,0.849210526,5
QLoRA nf4,q+v,8,9.931618241,5.232991695,0.420888275,0.901115847,0.901578947,5
QLoRA nf4,q+v,16,9.937086296,5.249777794,0.421219349,0.909100438,0.909473684,5
QLoRA nf4,q+v,32,9.924468593,5.281424522,0.396546334,0.913482883,0.913815789,5
QLoRA nf4,q+k+v,4,10.17250583,5.359499931,0.400171548,0.882559469,0.883157895,5
QLoRA nf4,q+k+v,8,10.16371234,5.367419243,0.4187181,0.887675113,0.888026316,5
QLoRA nf4,q+k+v,16,10.20226556,5.387774467,0.398312658,0.902451277,0.902763158,5
QLoRA nf4,q+k+v,32,10.17840968,5.43159771,0.372055203,0.909828343,0.910131579,5
QLoRA nf4,q+k+v+o,4,10.56290578,5.487822533,0.423672199,0.898878923,0.899210526,5
QLoRA nf4,q+k+v+o,8,10.51577787,5.502028465,0.391814798,0.916349095,0.916710526,5
QLoRA nf4,q+k+v+o,16,10.51889867,5.532454491,0.366457254,0.92065996,0.920921053,5
QLoRA nf4,q+k+v+o,32,10.43968741,5.595442772,0.361969292,0.921363794,0.921578947,5
QLoRA fp4,q+v,4,10.09280762,3.672830582,0.426953584,0.867939264,0.868684211,5
QLoRA fp4,q+v,8,10.0817288,3.676741123,0.403566897,0.899774874,0.900263158,5
QLoRA fp4,q+v,16,10.05072846,3.691452026,0.419895828,0.909180455,0.909605263,5
QLoRA fp4,q+v,32,10.08015852,3.724319458,0.389940023,0.913286135,0.913552632,5
QLoRA fp4,q+k+v,4,10.32620027,3.804487705,0.397812188,0.870300479,0.871052632,5
QLoRA fp4,q+k+v,8,10.30005979,3.81470871,0.401509374,0.895140512,0.895394737,5
QLoRA fp4,q+k+v,16,10.29642135,3.832683563,0.405074924,0.905481385,0.905789474,5
QLoRA fp4,q+k+v,32,10.33443327,3.8763237,0.385376722,0.913239276,0.913552632,5
QLoRA fp4,q+k+v+o,4,10.61582017,3.936628819,0.424678177,0.902851636,0.903289474,5
QLoRA fp4,q+k+v+o,8,10.58147057,3.947853088,0.377503723,0.915097231,0.915526316,5
QLoRA fp4,q+k+v+o,16,10.58410228,3.978279114,0.369267493,0.921514237,0.921842105,5
QLoRA fp4,q+k+v+o,32,10.59457029,4.039924622,0.357227921,0.923923053,0.924210526,5
baseline,,,1.498516476,3.087872982,84.75,0.597057616,0.595833333,1
LoRA,q+v,4,2.000049841,5.65179348,24.671875,0.734307391,0.736578947,1
LoRA,q+v,8,2.015492368,5.655287743,1.823242188,0.509076794,0.509605263,1
LoRA,q+v,16,2.024613575,5.661055565,0.821289063,0.645171633,0.645789474,1
LoRA,q+v,32,2.090099053,5.679749012,0.556152344,0.759864287,0.762236842,1
LoRA,q+k+v,4,2.114945988,5.857680321,1.0703125,0.58549887,0.586447368,1
LoRA,q+k+v,8,2.117361546,5.861739159,0.841796875,0.661172528,0.663026316,1
LoRA,q+k+v,16,2.130364859,5.872158527,0.759765625,0.681733305,0.684605263,1
LoRA,q+k+v,32,2.222808405,5.910610676,0.661132813,0.714323002,0.715131579,1
LoRA,q+k+v+o,4,2.274140692,6.070815086,1.020507813,0.619552058,0.619210526,1
LoRA,q+k+v+o,8,2.263597639,6.076582909,0.888183594,0.649389327,0.653157895,1
LoRA,q+k+v+o,16,2.269257561,6.103142262,0.742675781,0.681274975,0.681052632,1
LoRA,q+k+v+o,32,2.421983508,6.158684254,0.497070313,0.767359357,0.768157895,1
QLoRA nf4,q+v,4,6.22876296,3.673868179,1.256037951,0.513377441,0.517236842,1
QLoRA nf4,q+v,8,6.219463356,3.677229404,1.249480605,0.492672357,0.491578947,1
QLoRA nf4,q+v,16,6.223477455,3.692489624,1.084926128,0.579569146,0.581184211,1
QLoRA nf4,q+v,32,6.221866345,3.727432251,0.870759368,0.673352208,0.675657895,1
QLoRA nf4,q+k+v,4,6.323349941,3.806807041,1.349253178,0.440620322,0.438421053,1
QLoRA nf4,q+k+v,8,6.315697118,3.81080246,1.345609665,0.486712801,0.489868421,1
QLoRA nf4,q+k+v,16,6.314875873,3.835308075,1.186769843,0.547730163,0.549078947,1
QLoRA nf4,q+k+v,32,6.312822179,3.87455368,0.969830632,0.633728682,0.633552632,1
QLoRA nf4,q+k+v+o,4,6.455938427,3.932173252,1.260585308,0.522967319,0.523157895,1
QLoRA nf4,q+k+v+o,8,6.450543912,3.945289612,0.887865543,0.655835974,0.661973684,1
QLoRA nf4,q+k+v+o,16,6.458593965,3.978157043,0.684177518,0.740173838,0.744736842,1
QLoRA nf4,q+k+v+o,32,6.442093996,4.03754425,0.519461513,0.809593184,0.812105263,1
QLoRA fp4,q+v,4,6.338238561,3.675589085,1.494569778,0.393374199,0.396184211,1
QLoRA fp4,q+v,8,6.322135663,3.683654785,1.31310904,0.466196603,0.466842105,1
QLoRA fp4,q+v,16,6.326731805,3.699325562,1.1377455,0.552035111,0.554342105,1
QLoRA fp4,q+v,32,6.317749242,3.729995728,0.906766951,0.663788746,0.665657895,1
QLoRA fp4,q+k+v,4,6.428878486,3.807704926,1.430780172,0.409745629,0.409342105,1
QLoRA fp4,q+k+v,8,6.42711285,3.817272186,1.336473107,0.494403698,0.497236842,1
QLoRA fp4,q+k+v,16,6.419760076,3.841106415,1.191130519,0.552205235,0.554342105,1
QLoRA fp4,q+k+v,32,6.402761436,3.879253387,0.984896183,0.63191333,0.632105263,1
QLoRA fp4,q+k+v+o,4,6.601041905,3.934013367,1.247728825,0.530627053,0.531578947,1
QLoRA fp4,q+k+v+o,8,6.579777888,3.947120667,0.863267422,0.672978929,0.679473684,1
QLoRA fp4,q+k+v+o,16,6.582020132,3.981575012,0.655338466,0.753263903,0.7575,1
QLoRA fp4,q+k+v+o,32,6.549679585,4.044746399,0.501237214,0.813315731,0.815789474,1
